"Qty";"Value";"Device";"Package";"Parts";"Description";"MFGN";"MFGP";"NOTES";"PRICE";
"1";"";"2X10JTAG";"2X10JTAG";"U$3";"";"CNC Tech";"3220-20-0100-00";"";"";
"1";"";"52745-1097";"52745-1097";"U$2";"";"Molex";"52745-1097";"";"";
"1";"";"BARREL_CUI_PJ-002A";"BARREL_CUI_PJ-002A";"U$9";"";"CUI";"PJ-002A";"";"";
"1";"";"DF12_F";"DF12_F";"U$10";"";"Hirose";"DF12(3.0)-40DP-0.5V(86)";"";"";
"1";"";"DIODE-ZENER-BZT52";"SOD-323";"U$37";"Zener Diode";"";"";"DNP";"";
"6";"";"FIDUCIAL";"FIDUCIAL_1MM";"U$38, U$39, U$40, U$41, U$42, U$43";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"DNP";"";
"1";"";"MAX232SOIC16";"SO016";"U2";"RS232 Transceiver";"Texas Instruments";"MAX232DR";"";"0.86";
"2";"";"MIC94061C6";"SC70-6L";"U$4, U$5";"";"Micrel";"MIC94061YC6 TR";"";"1.50";
"1";"";"NCP1117ST33T3G_1";"SOT223";"IC1";"VOLTAGE REGULATOR";"OnSemi";"NCP1117ST33T3G";"";"";
"1";"";"RA_BUTTON";"RA_BUTTON";"U$30";"";"TE Connectivity";"2-1825027-0";"";"";
"1";"";"RGLBED";"RGBLED";"U$1";"";"Cree, Inc.";"CLV1A-FKB-CK1N1G1BB7R4S3";"";"";
"2";"";"RJ45-8";"MOLEX-0955016649";"POSCON, SCANNER";"RJ45 Jack";"Molex";"0955016889";"";"";
"1";"";"RS485SOIC";"SO08";"U3";"";"Texas Instruments";"SN65HVD1781DR";"";"4.29";
"4";"";"SWITCH-TACTILE";"ESWITCH-TL3301PF";"U$13, U$14, U$15, U$16";"";"E-Switch";"TL3301DF160QG";"";"";
"1";"";"WS2801";"SO14";"U$8";"";"WorldSemi";"WS2801";"";"";
"1";"0";"RF-R0805";"RF-C0805";"U$36";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW08050000Z0EAHP";"";"";
"2";"0.1uF";"RF-C0805";"C0805";"U$7, U$33";"RF capacitor pads for FSL reference design";"TDK";"C2012X5R1H104K085AA";"";"";
"4";"10k";"RF-R0805";"RF-C0805";"U$26, U$27, U$28, U$29";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW080510K0FKEA";"";"";
"2";"10k";"RF-R0805";"RF-C0805";"U$6, U$25";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW080568K0FKEA";"";"";
"4";"10uF";"RF-C0805";"C0805";"U$24, U$31, U$32, U$35";"RF capacitor pads for FSL reference design";"Murata";"GRM219R61E106KA12D";"";"";
"7";"1uF";"RF-C0805";"C0805";"U$11, U$12, U$17, U$21, U$22, U$23, U$34";"RF capacitor pads for FSL reference design";"TDK";"C2012X5R1E105K125AA";"";"";
"3";"24";"RF-R0805";"RF-C0805";"U$18, U$19, U$20";"RF resistor pads for FSL reference design";"Vishay Dale";"CRCW080524R0FKEA";"";"";
